"","deidentified_sub","age","gender","self_SES","marital","STAI_T","T_Ang"
"1",1,22,"F","below middle","single",32,22
"2",2,18,"M","above middle","single",42,15
"3",3,35,"F","below middle","single",44,17
"4",4,32,"M","below middle","single",32,23
"5",5,27,"F","middle","single",34,36
"6",6,20,"F","below middle","single",43,20
"7",7,26,"M","low","married",39,16
"8",8,44,"F","middle","single",34,12
"9",9,19,"F","middle","single",51,21
"10",10,33,"M","middle","single",43,25
"11",11,51,"M","below middle","relationship",47,16
"12",12,35,"F","below middle","single",39,31
"13",13,23,"F","below middle","relationship",56,19
"14",14,26,"F","above middle","single",48,31
"15",15,52,"F","below middle","single",38,12
"16",16,32,"F","below middle","single",47,15
"17",17,53,"F","below middle","single",42,31
"18",18,24,"F","below middle","single",35,25
"19",19,57,"F","below middle","single",56,33
"20",20,35,"M","below middle","single",50,30
"21",21,22,"F","high","single",36,19
"22",22,28,"M","below middle","single",42,21
"23",23,41,"F","middle","single",30,35
"24",24,27,"F","low","single",44,38
"25",25,29,"F","below middle","single",34,16
"26",26,30,"F","middle","married",34,13
"27",27,49,"M","below middle","single",35,37
"28",28,18,"M","middle","relationship",54,12
"29",29,31,"F","below middle","single",31,18
"30",30,41,"F","above middle","single",36,32
"31",31,40,"F","high","single",30,27
"32",32,32,"M","high","single",37,33
"33",33,26,"M","below middle","single",58,15
"34",34,19,"F","middle","single",33,16
"35",35,22,"F","middle","married",30,29
"36",36,19,"F","middle","single",45,21
"37",37,33,"M","low","single",37,17
"38",38,32,"M","high","relationship",37,24
"39",39,30,"M","middle","single",44,15
"40",40,41,"F","below middle","relationship",38,26
"41",41,30,"M","middle","single",30,35
"42",42,24,"F","below middle","single",56,21
"43",43,35,"M","middle","single",39,21
"44",44,33,"M","below middle","single",46,17
"45",45,34,"F","below middle","relationship",52,21
"46",46,33,"M","below middle","single",47,12
"47",47,35,"F","middle","single",32,14
"48",48,23,"M","above middle","single",42,38
"49",49,34,"F","low","single",35,38
"50",50,41,"F","middle","relationship",56,36
"51",51,30,"M","high","single",41,21
"52",52,19,"M","below middle","relationship",43,15
"53",53,29,"F","high","single",48,33
"54",54,21,"M","below middle","single",35,14
"55",55,24,"M","below middle","single",52,34
"56",56,27,"M","high","single",51,28
"57",57,45,"M","below middle","married",59,16
